You need 861 stickers.

TOPPS 1.  "Topps Logo"
UEFA 1.  "UEFA Euro 2024 Logo"
UEFA 2.  "Matchball"
EURO 1.  "Trophy"
EURO 1.  "Trophy" - Red Dots Foil (Mega Eco Box Exclusive)
EURO 1.  "Trophy" - Green Foil (Super Rare)
EURO 1.  "Trophy" - Gold Foil (One of a kind)
EURO 2.  "K\9500\9570ln"
EURO 4.  "D\9500\9565sseldorf"
EURO 5.  "Frankfurt"
EURO 7.  "Hamburg"
EURO 8.  "Leipzig"
EURO 11.  "Berlin Stadium"
GA 2.  "Overview 2/2"
GER P 1.  "Landmark 1/2"
GER P 2.  "Landmark 2/2"
GER PTW.  "Jamal Musiala"
GER PTW.  "Jamal Musiala" - Red Dots Foil (Mega Eco Box Exclusive)
GER PTW.  "Jamal Musiala" - Green Foil (Super Rare)
GER PTW.  "Jamal Musiala" - Gold Foil (One of a kind)
GER SP.  "Leroy San\9500\8976" - Unsigned Gold Foil
GER TOP 1.  "Thomas M\9500\9565ller"
GER TOP 2.  "Ilkay G\9500\9565ndogan"
GER 1.  "Logo" - Red Dots Foil (Mega Eco Box Exclusive)
GER 1.  "Logo" - Green Foil (Super Rare)
GER 1.  "Logo" - Gold Foil (One of a kind)
GER 2.  "Ilkay G\9500\9565ndogan"
GER 2.  "Ilkay G\9500\9565ndogan" - Red Dots Foil (Mega Eco Box Exclusive)
GER 2.  "Ilkay G\9500\9565ndogan" - Green Foil (Super Rare)
GER 2.  "Ilkay G\9500\9565ndogan" - Gold Foil (One of a kind)
GER 3.  "Julian Brandt" - Red Dots Foil (Mega Eco Box Exclusive)
GER 3.  "Julian Brandt" - Green Foil (Super Rare)
GER 3.  "Julian Brandt" - Gold Foil (One of a kind)
GER 4.  "Thilo Kehrer"
GER 6.  "Benjamin Henrichs"
GER 7.  "Malick Thiaw"
GER 8.  "Robin Gosens"
GER 9.  "Niklas S\9500\9565le"
GER 10.  "Joshua Kimmich"
GER 11.  "Jamal Musiala"
GER 12.  "Mario G\9500\9570tze"
GER 13.  "Emre Can"
GER 14.  "Timo Werner"
GER 16.  "Thomas M\9500\9565ller"
GER 18.  "Karim Adeyemi"
GER 20.  "Bastian Schweinsteiger"
GER 21.  "Lothar Matth\9500\241us"
SCO PTW.  "Billy Gilmour"
SCO PTW.  "Billy Gilmour" - Red Dots Foil (Mega Eco Box Exclusive)
SCO PTW.  "Billy Gilmour" - Green Foil (Super Rare)
SCO PTW.  "Billy Gilmour" - Gold Foil (One of a kind)
SCO SP.  "Scott McTominay" - Unsigned Gold Foil
SCO SP.  "Scott McTominay" - Signed Gold Foil
SCO TOP 1.  "John McGinn"
SCO TOP 2.  "Ryan Porteous"
SCO 1.  "Logo"
SCO 1.  "Logo" - Red Dots Foil (Mega Eco Box Exclusive)
SCO 1.  "Logo" - Green Foil (Super Rare)
SCO 1.  "Logo" - Gold Foil (One of a kind)
SCO 2.  "Andrew Robertson"
SCO 2.  "Andrew Robertson" - Red Dots Foil (Mega Eco Box Exclusive)
SCO 2.  "Andrew Robertson" - Green Foil (Super Rare)
SCO 2.  "Andrew Robertson" - Gold Foil (One of a kind)
SCO 3.  "Ch\9500\8976 Adams"
SCO 3.  "Ch\9500\8976 Adams" - Red Dots Foil (Mega Eco Box Exclusive)
SCO 3.  "Ch\9500\8976 Adams" - Green Foil (Super Rare)
SCO 3.  "Ch\9500\8976 Adams" - Gold Foil (One of a kind)
SCO 4.  "Angus Gunn"
SCO 6.  "Jack Hendry"
SCO 8.  "Nathan Patterson"
SCO 9.  "Ryan Porteous"
SCO 10.  "Aaaron Hickey"
SCO 14.  "Billy Gilmour"
SCO 15.  "John McGinn"
SCO 16.  "Scott McTominay"
SCO 17.  "Lewis Ferguson"
SCO 20.  "Lyndon Dykes"
SCO 21.  "Ryan Christie"
HUN P 2.  "Landmark 2/2"
HUN PTW.  "Milos Kerkez"
HUN PTW.  "Milos Kerkez" - Red Dots Foil (Mega Eco Box Exclusive)
HUN PTW.  "Milos Kerkez" - Green Foil (Super Rare)
HUN PTW.  "Milos Kerkez" - Gold Foil (One of a kind)
HUN SP.  "Willi Orb\9500\237n" - Unsigned Gold Foil
HUN SP.  "Willi Orb\9500\237n" - Signed Gold Foil
HUN TOP 2.  "\9500\252d\9500\237m  Nagy"
HUN 1.  "Logo" - Red Dots Foil (Mega Eco Box Exclusive)
HUN 1.  "Logo" - Green Foil (Super Rare)
HUN 1.  "Logo" - Gold Foil (One of a kind)
HUN 2.  "Dominik Szoboszlai"
HUN 2.  "Dominik Szoboszlai" - Red Dots Foil (Mega Eco Box Exclusive)
HUN 2.  "Dominik Szoboszlai" - Green Foil (Super Rare)
HUN 2.  "Dominik Szoboszlai" - Gold Foil (One of a kind)
HUN 3.  "Callum Styles" - Red Dots Foil (Mega Eco Box Exclusive)
HUN 3.  "Callum Styles" - Green Foil (Super Rare)
HUN 3.  "Callum Styles" - Gold Foil (One of a kind)
HUN 4.  "D\9500\8976nes Dibusz"
HUN 6.  "Attila Szalai"
HUN 8.  "Willi Orb\9500\237n"
HUN 10.  "Lo\9500\187c  Nego"
HUN 11.  "Bendeg\9500\9553z  Bolla"
HUN 12.  "\9500\252d\9500\237m  Nagy"
HUN 13.  "Zsolt Kalm\9500\237r"
HUN 14.  "D\9500\237niel Gazdag"
HUN 15.  "Mih\9500\237ly  Kata"
HUN 16.  "L\9500\237szl\9500\9474  Kleinheisler"
HUN 17.  "Barnab\9500\237s  Varga"
HUN 18.  "Roland Sallai"
HUN 19.  "Kevin Csoboth"
HUN 20.  "Andr\9500\237s  Nemeth"
SUI P 1.  "Landmark 1/2"
SUI P 2.  "Landmark 2/2"
SUI PTW.  "Fabian Rieder"
SUI PTW.  "Fabian Rieder" - Red Dots Foil (Mega Eco Box Exclusive)
SUI PTW.  "Fabian Rieder" - Green Foil (Super Rare)
SUI PTW.  "Fabian Rieder" - Gold Foil (One of a kind)
SUI SP.  "Noah Okafor" - Unsigned Gold Foil
SUI SP.  "Noah Okafor" - Signed Gold Foil
SUI TOP 1.  "Nico Elvedi"
SUI 1.  "Logo"
SUI 1.  "Logo" - Red Dots Foil (Mega Eco Box Exclusive)
SUI 1.  "Logo" - Gold Foil (One of a kind)
SUI 2.  "Granit Xhaka" - Red Dots Foil (Mega Eco Box Exclusive)
SUI 2.  "Granit Xhaka" - Green Foil (Super Rare)
SUI 2.  "Granit Xhaka" - Gold Foil (One of a kind)
SUI 3.  "Xherdan Shaqiri"
SUI 3.  "Xherdan Shaqiri" - Red Dots Foil (Mega Eco Box Exclusive)
SUI 3.  "Xherdan Shaqiri" - Green Foil (Super Rare)
SUI 3.  "Xherdan Shaqiri" - Gold Foil (One of a kind)
SUI 4.  "Yann Sommer"
SUI 7.  "Ricardo Rodr\9500\161guez"
SUI 8.  "Nico Elvedi"
SUI 9.  "Fabian Sch\9500\241r"
SUI 11.  "Michel Aebischer"
SUI 12.  "Denis Zakaria"
SUI 13.  "Remo Freuler"
SUI 14.  "Fabian Rieder"
SUI 15.  "Djibril Sow"
SUI 16.  "Filip Ugrinic"
SUI 17.  "Dan Ndoye"
SUI 18.  "Ruben Vargas"
SUI 19.  "Zeki Amdouni"
SUI 21.  "Noah Okafor"
GB 1.  "Overview 1/2"
GB 2.  "Overview 2/2"
ESP P 1.  "Landmark 1/2"
ESP PTW.  "Lamine Yamal"
ESP PTW.  "Lamine Yamal" - Red Dots Foil (Mega Eco Box Exclusive)
ESP PTW.  "Lamine Yamal" - Green Foil (Super Rare)
ESP PTW.  "Lamine Yamal" - Gold Foil (One of a kind)
ESP SP.  "Rodri" - Unsigned Gold Foil
ESP SP.  "Rodri" - Signed Gold Foil
ESP TOP 1.  "Ferran Torres"
ESP TOP 2.  "Pedri"
ESP 1.  "Logo"
ESP 1.  "Logo" - Red Dots Foil (Mega Eco Box Exclusive)
ESP 1.  "Logo" - Green Foil (Super Rare)
ESP 1.  "Logo" - Gold Foil (One of a kind)
ESP 2.  "\9500\252lvaro Morata"
ESP 2.  "\9500\252lvaro Morata" - Red Dots Foil (Mega Eco Box Exclusive)
ESP 2.  "\9500\252lvaro Morata" - Green Foil (Super Rare)
ESP 2.  "\9500\252lvaro Morata" - Gold Foil (One of a kind)
ESP 3.  "Dani Olmo"
ESP 3.  "Dani Olmo" - Red Dots Foil (Mega Eco Box Exclusive)
ESP 3.  "Dani Olmo" - Green Foil (Super Rare)
ESP 3.  "Dani Olmo" - Gold Foil (One of a kind)
ESP 4.  "Unai Sim\9500\9474n"
ESP 5.  "C\9500\8976sar Azpilicueta"
ESP 6.  "Pedro Porro"
ESP 7.  "Alejandro Balde"
ESP 8.  "Robin Le Normand"
ESP 9.  "Pau Torres"
ESP 10.  "Aymeric Laporte"
ESP 11.  "Gavi"
ESP 12.  "Pedri"
ESP 14.  "Fabi\9500\237n Ruiz"
ESP 18.  "Yeremy Pino"
ESP 20.  "Ansu Fati"
CRO P 1.  "Landmark 1/2"
CRO P 2.  "Landmark 2/2"
CRO PTW.  "Jo\9532\237ko  Gvardiol"
CRO PTW.  "Jo\9532\237ko  Gvardiol" - Red Dots Foil (Mega Eco Box Exclusive)
CRO PTW.  "Jo\9532\237ko  Gvardiol" - Green Foil (Super Rare)
CRO PTW.  "Jo\9532\237ko  Gvardiol" - Gold Foil (One of a kind)
CRO SP.  "Mateo Kova\9472\236i\9472\231" - Unsigned Gold Foil
CRO TOP 2.  "Ivan Peri\9532\237i\9472\231"
CRO 1.  "Logo"
CRO 1.  "Logo" - Red Dots Foil (Mega Eco Box Exclusive)
CRO 1.  "Logo" - Green Foil (Super Rare)
CRO 1.  "Logo" - Gold Foil (One of a kind)
CRO 2.  "Luka Modri\9472\231"
CRO 2.  "Luka Modri\9472\231" - Red Dots Foil (Mega Eco Box Exclusive)
CRO 2.  "Luka Modri\9472\231" - Green Foil (Super Rare)
CRO 2.  "Luka Modri\9472\231" - Gold Foil (One of a kind)
CRO 3.  "Mateo Kova\9472\236i\9472\231"
CRO 3.  "Mateo Kova\9472\236i\9472\231" - Red Dots Foil (Mega Eco Box Exclusive)
CRO 3.  "Mateo Kova\9472\236i\9472\231" - Green Foil (Super Rare)
CRO 3.  "Mateo Kova\9472\236i\9472\231" - Gold Foil (One of a kind)
CRO 4.  "Dominik Livakovi\9472\231"
CRO 5.  "Josip Stani\9532\237i\9472\231"
CRO 6.  "Martin Erli\9472\231"
CRO 7.  "Josip \9532\225utalo"
CRO 8.  "Borna Sosa"
CRO 9.  "Jo\9532\237ko Gvardiol"
CRO 10.  "Domagoj Vida"
CRO 11.  "Josip Juranovi\9472\231"
CRO 12.  "Lovro Majer"
CRO 15.  "Mario Pa\9532\237ali\9472\231"
CRO 19.  "Mislav Or\9532\237i\9472\231"
ITA P 1.  "Landmark 1/2"
ITA P 2.  "Landmark 2/2"
ITA PTW.  "Wilfried Gnonto" - Red Dots Foil (Mega Eco Box Exclusive)
ITA PTW.  "Wilfried Gnonto" - Green Foil (Super Rare)
ITA PTW.  "Wilfried Gnonto" - Gold Foil (One of a kind)
ITA TOP 1.  "Ciro Immobile"
ITA 1.  "Logo" - Red Dots Foil (Mega Eco Box Exclusive)
ITA 1.  "Logo" - Green Foil (Super Rare)
ITA 1.  "Logo" - Gold Foil (One of a kind)
ITA 2.  "Leonardo Bonucci" - Red Dots Foil (Mega Eco Box Exclusive)
ITA 2.  "Leonardo Bonucci" - Green Foil (Super Rare)
ITA 2.  "Leonardo Bonucci" - Gold Foil (One of a kind)
ITA 3.  "Jorginho"
ITA 3.  "Jorginho" - Red Dots Foil (Mega Eco Box Exclusive)
ITA 3.  "Jorginho" - Green Foil (Super Rare)
ITA 3.  "Jorginho" - Gold Foil (One of a kind)
ITA 4.  "Gianluigi Donnarumma"
ITA 6.  "Francesco Acerbi"
ITA 9.  "Allesandro Bastoni"
ITA 10.  "Federico Dimarco"
ITA 11.  "Gianluca Mancini"
ITA 12.  "Destiny Udogie"
ITA 13.  "Davide Frattesi"
ITA 15.  "Marco Verratti"
ITA 17.  "Bryan Cristante"
