You need 539 stickers.

TOPPS 1.  "Topps Logo"
UEFA 1.  "UEFA Euro 2024 Logo"
UEFA 2.  "Matchball"
EURO 1.  "Trophy"
EURO 2.  "K\9500\9570ln"
EURO 4.  "D\9500\9565sseldorf"
EURO 5.  "Frankfurt"
EURO 7.  "Hamburg"
EURO 8.  "Leipzig"
EURO 11.  "Berlin Stadium"
GA 2.  "Overview 2/2"
GER P 1.  "Landmark 1/2"
GER P 2.  "Landmark 2/2"
GER PTW.  "Jamal Musiala"
GER TOP 1.  "Thomas M\9500\9565ller"
GER TOP 2.  "Ilkay G\9500\9565ndogan"
GER 2.  "Ilkay G\9500\9565ndogan"
GER 4.  "Thilo Kehrer"
GER 6.  "Benjamin Henrichs"
GER 7.  "Malick Thiaw"
GER 8.  "Robin Gosens"
GER 9.  "Niklas S\9500\9565le"
GER 10.  "Joshua Kimmich"
GER 11.  "Jamal Musiala"
GER 12.  "Mario G\9500\9570tze"
GER 13.  "Emre Can"
GER 14.  "Timo Werner"
GER 16.  "Thomas M\9500\9565ller"
GER 18.  "Karim Adeyemi"
GER 20.  "Bastian Schweinsteiger"
GER 21.  "Lothar Matth\9500\241us"
SCO PTW.  "Billy Gilmour"
SCO SP.  "Scott McTominay"
SCO TOP 1.  "John McGinn"
SCO TOP 2.  "Ryan Porteous"
SCO 1.  "Logo"
SCO 2.  "Andrew Robertson"
SCO 3.  "Ch\9500\8976 Adams"
SCO 4.  "Angus Gunn"
SCO 6.  "Jack Hendry"
SCO 8.  "Nathan Patterson"
SCO 9.  "Ryan Porteous"
SCO 10.  "Aaaron Hickey"
SCO 14.  "Billy Gilmour"
SCO 15.  "John McGinn"
SCO 16.  "Scott McTominay"
SCO 17.  "Lewis Ferguson"
SCO 20.  "Lyndon Dykes"
SCO 21.  "Ryan Christie"
HUN P 2.  "Landmark 2/2"
HUN PTW.  "Milos Kerkez"
HUN SP.  "Willi Orb\9500\237n"
HUN TOP 2.  "\9500\252d\9500\237m  Nagy"
HUN 2.  "Dominik Szoboszlai"
HUN 4.  "D\9500\8976nes Dibusz"
HUN 6.  "Attila Szalai"
HUN 8.  "Willi Orb\9500\237n"
HUN 10.  "Lo\9500\187c  Nego"
HUN 11.  "Bendeg\9500\9553z  Bolla"
HUN 12.  "\9500\252d\9500\237m  Nagy"
HUN 13.  "Zsolt Kalm\9500\237r"
HUN 14.  "D\9500\237niel Gazdag"
HUN 15.  "Mih\9500\237ly  Kata"
HUN 16.  "L\9500\237szl\9500\9474  Kleinheisler"
HUN 17.  "Barnab\9500\237s  Varga"
HUN 18.  "Roland Sallai"
HUN 19.  "Kevin Csoboth"
HUN 20.  "Andr\9500\237s  Nemeth"
SUI P 1.  "Landmark 1/2"
SUI P 2.  "Landmark 2/2"
SUI PTW.  "Fabian Rieder"
SUI SP.  "Noah Okafor"
SUI TOP 1.  "Nico Elvedi"
SUI 3.  "Xherdan Shaqiri"
SUI 4.  "Yann Sommer"
SUI 7.  "Ricardo Rodr\9500\161guez"
SUI 8.  "Nico Elvedi"
SUI 9.  "Fabian Sch\9500\241r"
SUI 11.  "Michel Aebischer"
SUI 12.  "Denis Zakaria"
SUI 13.  "Remo Freuler"
SUI 14.  "Fabian Rieder"
SUI 15.  "Djibril Sow"
SUI 16.  "Filip Ugrinic"
SUI 17.  "Dan Ndoye"
SUI 18.  "Ruben Vargas"
SUI 19.  "Zeki Amdouni"
SUI 21.  "Noah Okafor"
GB 1.  "Overview 1/2"
GB 2.  "Overview 2/2"
ESP P 1.  "Landmark 1/2"
ESP PTW.  "Lamine Yamal"
ESP SP.  "Rodri"
ESP TOP 1.  "Ferran Torres"
ESP TOP 2.  "Pedri"
ESP 1.  "Logo"
ESP 2.  "\9500\252lvaro Morata"
ESP 3.  "Dani Olmo"
ESP 4.  "Unai Sim\9500\9474n"
ESP 5.  "C\9500\8976sar Azpilicueta"
ESP 6.  "Pedro Porro"
ESP 7.  "Alejandro Balde"
ESP 8.  "Robin Le Normand"
ESP 9.  "Pau Torres"
ESP 10.  "Aymeric Laporte"
ESP 11.  "Gavi"
ESP 12.  "Pedri"
ESP 14.  "Fabi\9500\237n Ruiz"
ESP 18.  "Yeremy Pino"
ESP 20.  "Ansu Fati"
CRO P 1.  "Landmark 1/2"
CRO P 2.  "Landmark 2/2"
CRO PTW.  "Jo\9532\237ko  Gvardiol"
CRO TOP 2.  "Ivan Peri\9532\237i\9472\231"
CRO 1.  "Logo"
CRO 2.  "Luka Modri\9472\231"
CRO 3.  "Mateo Kova\9472\236i\9472\231"
CRO 4.  "Dominik Livakovi\9472\231"
CRO 5.  "Josip Stani\9532\237i\9472\231"
CRO 6.  "Martin Erli\9472\231"
CRO 7.  "Josip \9532\225utalo"
CRO 8.  "Borna Sosa"
CRO 9.  "Jo\9532\237ko Gvardiol"
CRO 10.  "Domagoj Vida"
CRO 11.  "Josip Juranovi\9472\231"
CRO 12.  "Lovro Majer"
CRO 15.  "Mario Pa\9532\237ali\9472\231"
CRO 19.  "Mislav Or\9532\237i\9472\231"
ITA P 1.  "Landmark 1/2"
ITA P 2.  "Landmark 2/2"
ITA TOP 1.  "Ciro Immobile"
ITA 3.  "Jorginho"
ITA 4.  "Gianluigi Donnarumma"
ITA 6.  "Francesco Acerbi"
ITA 9.  "Allesandro Bastoni"
ITA 10.  "Federico Dimarco"
ITA 11.  "Gianluca Mancini"
ITA 12.  "Destiny Udogie"
ITA 13.  "Davide Frattesi"
ITA 15.  "Marco Verratti"
ITA 17.  "Bryan Cristante"
ITA 18.  "Gianluca Scamacca"
ITA 21.  "Wilfired Gnonto"
ALB PTW.  "Armando Broja"
ALB SP.  "Elseid Hysaj"
ALB TOP 1.  "Jasir Asani"
ALB TOP 2.  "Kristjan Asllani"
ALB 1.  "Logo"
ALB 2.  "Etrit Berisha"
ALB 4.  "Thomas Strakosha"
ALB 6.  "Berat Djimsiti"
ALB 7.  "Elseid Hysaj"
ALB 8.  "Marash Kumbulla"
ALB 9.  "Ardian Ismajli"
ALB 10.  "Keidi Bare"
ALB 13.  "Kristjan Asllani"
ALB 14.  "Anis Mehmeti"
ALB 15.  "Ylber Ramadani"
ALB 18.  "Sokol \9500\231ikalleshi"
ALB 19.  "Ernest Mu\9500\186i"
ALB 20.  "Mirlind Daku"
ALB 21.  "Armando Broja"
GC 2.  "Overview 2/2"
SVN P 1.  "Landmark 1/2"
SVN PTW.  "\9532\9564an Vipotnik"
SVN SP.  "Benjamin \9532\225e\9532\237ko"
SVN TOP 1.  "\9532\9564an Karnicnik"
SVN TOP 2.  "Andra\9532\9563 \9532\225porar"
SVN 3.  "Benjamin \9532\225e\9532\237ko"
SVN 4.  "Jaka Bijol"
SVN 5.  "Jure Balkovec"
SVN 6.  "Miha Bla\9532\9563i\9472\236"
SVN 7.  "\9532\9564an Karni\9472\236nik"
SVN 8.  "Petar Stojanovi\9472\231"
SVN 10.  "Erik Jan\9532\9563a"
SVN 11.  "Benjamin Verbi\9472\236"
SVN 14.  "Jasmin Kurti\9472\231"
SVN 15.  "Adam  Gnezda \9472\238erin"
SVN 18.  "Jan Mlakar"
SVN 19.  "\9532\9564an Vipotnik"
DEN P 2.  "Landmark 2/2"
DEN PTW.  "Rasmus H\9500\9557jlund"
DEN SP.  "Pierre"
DEN TOP 2.  "Jonas Wind"
DEN 1.  "Logo"
DEN 2.  "Simon Kjaer"
DEN 3.  "Mikkel Damsgaard"
DEN 4.  "Kasper Schmeichel"
DEN 8.  "Rasmus Kristensen"
DEN 9.  "Jens Stryger"
DEN 11.  "Christian N\9500\9557rgaard"
DEN 12.  "Philip Billing"
DEN 13.  "Christian Eriksen"
DEN 15.  "Mohamed Daramy"
DEN 17.  "Morten Hjulmand"
DEN 18.  "Jonas Wind"
DEN 19.  "Andreas Skov Olsen"
DEN 21.  "Rasmus H\9500\9557jlund"
SRB PTW.  "Lazar Samard\9532\9563i\9472\231"
SRB SP.  "Du\9532\237an Vlahovi\9472\231"
SRB TOP 1.  "Nikola Milenkovi\9472\231"
SRB TOP 2.  "Aleksandar Mitrovi\9472\231"
SRB 1.  "Logo"
SRB 2.  "Du\9532\237an Tadi\9472\231"
SRB 3.  "Sergej Milinkovi\9472\231"
SRB 4.  "Vanja Milinkovi\9472\231"
SRB 5.  "Strahinja Pavlovi\9472\231"
SRB 6.  "Filip Mladenovi\9472\231"
SRB 9.  "Strahinja Erakovi\9472\231"
SRB 10.  "Sr\9472\230an Babi\9472\231"
SRB 11.  "Nemanja Maksimovi\9472\231"
SRB 13.  "Sa\9532\237a Luki\9472\231"
SRB 14.  "Marko Gruji\9472\231"
SRB 15.  "Ivan Ili\9472\231"
SRB 16.  "Filip \9472\201uri\9472\236i\9472\231"
SRB 17.  "Lazar Samard\9532\9563i\9472\231"
SRB 18.  "Filip Kosti\9472\231"
SRB 20.  "Aleksandar Mitrovi\9472\231"
SRB 21.  "Du\9532\237an Vlahovi\9472\231"
ENG P 2.  "Landmark 2/2"
ENG SP.  "Jude Bellingham"
ENG TOP 1.  "Mason Mount"
ENG TOP 2.  "Trent Alexander"
ENG 2.  "Harry Kane"
ENG 4.  "Jordan Pickford"
ENG 5.  "Luke Thomas"
ENG 7.  "Kieran Trippier"
ENG 8.  "Luke Shaw"
ENG 10.  "Marc Gu\9500\8976hi"
ENG 11.  "Fikayo Tomori"
ENG 12.  "Rico Lewis"
ENG 14.  "Declan Rice"
ENG 15.  "Jordan Henderson"
ENG 16.  "Jude Bellingham"
ENG 17.  "Mason Mount"
ENG 18.  "Jarrod Bowen"
ENG 19.  "Jack Grealish"
ENG 20.  "Ollie Watkins"
MM 1.  "Alb\9500\241rt"
MM 2.  "Jos\9500\8976 Mourinho Signature"
GD 1.  "Overview 1/2"
NED P 1.  "Landmark 1/2"
NED PTW.  "Xavi Simons"
NED SP.  "Cody Gakpo"
NED TOP 1.  "Frenkie de Jong"
NED TOP 2.  "Donyell Malen"
NED 1.  "Logo"
NED 3.  "Frenkie de Jong"
NED 5.  "Jeremie Frimpong"
NED 6.  "Micky Van de Ven"
NED 7.  "Matthijs de Ligt"
NED 8.  "Denzel Dumfries"
NED 9.  "Lutsharel Geertruida"
NED 12.  "Nathan Ak\9500\8976"
NED 15.  "Teun Koopmeiners"
NED 16.  "Donyell Malen"
NED 20.  "Steven Bergwijn"
NED 21.  "Memphis Depay"
AUT P 1.  "Landmark 1/2"
AUT P 2.  "Landmark 2/2"
AUT SP.  "Marko Arnautovi\9472\231"
AUT TOP 1.  "Konrad Laimer"
AUT 4.  "Alexander Schlager"
AUT 7.  "Phillipp Mwene"
AUT 8.  "Maximilian W\9500\9570ber"
AUT 9.  "Kevin Danso"
AUT 10.  "Marcel Sabitzer"
AUT 11.  "Nicolas Seiwald"
AUT 12.  "Florian Grillitsch"
AUT 14.  "Konrad Laimer"
AUT 15.  "Christoph Baumgartner"
AUT 16.  "Florian Kainz"
AUT 18.  "Marko Arnautovi\9472\231"
AUT 20.  "Manprit Sarkaria"
AUT 21.  "Michael Gregoritsch"
FRA P 2.  "Landmark 2/2"
FRA SP.  "Kingsley Coman"
FRA TOP 1.  "Randal Kolo Muani"
FRA 1.  "Logo"
FRA 2.  "Zinedine Zidane"
FRA 3.  "Ousmane Demb\9500\8976le"
FRA 4.  "Mike Maignan"
FRA 8.  "Castello Lukeba"
FRA 10.  "Lucas Hern\9500\237ndez"
FRA 12.  "Theo Hern\9500\237ndez"
FRA 13.  "Eduardo Camavinga"
FRA 14.  "Aur\9500\8976lien Tchouameni"
FRA 15.  "Adrien Rabiot"
FRA 18.  "Olivier Giroud"
FRA 20.  "Antoine Griezmann"
FRA 21.  "Marcus Thuram"
POL SP.  "Robert Lewandowski"
POL 4.  "Matty Cash"
POL 5.  "Mateusz Wieteska"
POL 8.  "Bartosz Slisz"
POL 9.  "Nicola Zalewski"
POL 10.  "Piotr Zieli\9532\228ski"
POL 11.  "Kacper Koz\9532\233owski"
POL 14.  "Arkadiusz Milik"
POL 15.  "Robert Lewandowski"
EST SP.  "Markus Poom"
EST 1.  "Logo"
